memnum,begindt,enddt
poc00000001,2012-09-01,2012-12-31
poc00000001,2013-01-01,2014-12-31
poc00000001,2015-01-01,2019-09-30
poc00000002,2004-01-01,2005-12-31
poc00000002,2006-01-01,2006-12-31
poc00000002,2007-01-01,2007-01-31
poc00000002,2009-04-01,2010-12-31
poc00000002,2011-01-01,2012-12-31
poc00000002,2013-01-01,2017-05-31
poc00000003,2004-01-01,2004-12-31
poc00000003,2008-07-01,2009-06-30
poc00000003,2013-01-01,2019-09-30
poc00000004,2004-01-01,2007-10-01
poc00000004,2009-10-01,2014-02-28
poc00000004,2017-10-01,2018-09-30
poc00000005,2010-01-01,2010-12-31
poc00000005,2011-01-01,2013-09-30
poc00000005,2013-10-01,2017-12-31
poc00000006,2004-01-01,2004-06-30
poc00000006,2007-05-01,2008-03-31
poc00000006,2008-04-01,2009-01-31
poc00000006,2011-11-01,2012-05-31
poc00000006,2016-07-01,2016-10-31
poc00000006,2016-12-01,2017-06-30
poc00000006,2017-07-01,2017-09-30
poc00000006,2018-03-01,2018-06-30
poc00000006,2018-07-01,2019-07-31
poc00000007,2007-12-31,2011-04-30
poc00000007,2011-05-01,2018-04-30
poc00000007,2018-05-01,2019-09-30
poc00000007,2018-10-01,2018-12-31
poc00000007,2018-10-01,2018-12-31
poc00000007,2019-01-01,2019-08-31
poc00000007,2019-01-01,2019-08-31
poc00000008,2004-01-01,2004-12-31
poc00000008,2005-01-01,2009-12-31
poc00000008,2017-08-01,2017-09-30
poc00000009,2011-11-01,2013-02-28
poc00000009,2015-12-01,2015-12-31
poc00000009,2017-12-01,2019-09-30
poc00000010,2005-01-01,2011-12-31
poc00000010,2012-01-01,2012-07-31
poc00000010,2012-07-23,2012-12-31
poc00000010,2013-01-01,2019-09-30
poc00000011,2007-01-01,2008-03-31
poc00000011,2017-01-01,2017-02-28
poc00000012,2006-09-06,2007-09-30
poc00000012,2007-10-01,2008-09-30
poc00000012,2009-10-01,2011-09-30
poc00000012,2017-10-01,2019-09-30
poc00000013,2009-11-01,2010-12-31
poc00000013,2011-01-01,2012-12-31
poc00000013,2013-01-01,2017-12-31
poc00000013,2018-01-01,2018-12-31
poc00000013,2019-01-01,2019-09-30
poc00000014,2004-07-01,2005-10-31
poc00000014,2005-10-01,2009-02-28
poc00000014,2009-03-01,2011-08-01
poc00000014,2017-01-01,2019-02-01
poc00000015,2004-01-01,2004-10-31
poc00000015,2017-01-01,2017-06-30
poc00000016,2004-01-01,2004-10-19
poc00000016,2004-12-01,2005-10-30
poc00000016,2005-11-01,2006-02-28
poc00000016,2006-03-01,2006-09-30
poc00000016,2010-09-01,2017-05-31
poc00000016,2017-09-18,2017-12-31
poc00000016,2018-01-01,2018-12-31
poc00000017,2004-01-01,2004-01-31
poc00000017,2004-02-01,2004-09-30
poc00000017,2004-08-16,2004-09-30
poc00000017,2004-10-01,2006-03-30
poc00000017,2006-01-16,2006-03-31
poc00000017,2008-09-01,2011-12-31
poc00000017,2012-01-01,2019-09-30
poc00000018,2012-01-01,2012-12-31
poc00000018,2013-01-01,2013-12-31
poc00000018,2013-01-01,2016-12-31
poc00000018,2014-01-01,2014-12-31
poc00000018,2015-01-01,2015-12-31
poc00000018,2016-01-01,2016-12-31
poc00000018,2017-01-01,2017-12-31
poc00000018,2017-01-01,2017-12-31
poc00000018,2018-01-01,2018-12-31
poc00000018,2018-01-01,2018-12-31
poc00000018,2019-01-01,2019-09-30
poc00000018,2019-01-01,2019-09-30
poc00000019,2006-07-17,2007-12-31
poc00000019,2006-07-17,2007-12-31
poc00000019,2010-01-01,2014-04-06
poc00000019,2014-04-07,2014-12-31
poc00000019,2015-01-01,2015-12-31
poc00000019,2016-01-01,2018-04-30
poc00000020,2004-01-01,2004-11-14
poc00000020,2005-10-01,2014-04-30
poc00000020,2014-05-01,2014-06-30
poc00000020,2014-07-01,2018-06-30
poc00000020,2018-07-01,2019-09-30
poc00000021,2005-01-01,2008-08-01
poc00000021,2009-08-01,2010-07-31
poc00000021,2017-08-01,2017-12-31
poc00000022,2005-01-01,2009-12-31
poc00000022,2015-12-01,2017-12-31
poc00000022,2018-01-01,2018-12-31
poc00000022,2019-01-01,2019-09-30
poc00000023,2004-01-01,2004-06-30
poc00000023,2012-01-01,2012-12-31
poc00000023,2013-01-01,2017-12-31
poc00000023,2018-01-01,2018-12-31
poc00000023,2019-01-01,2019-09-30
poc00000024,2013-07-01,2015-06-30
poc00000024,2015-07-01,2019-09-30
poc00000025,2005-01-01,2005-12-31
poc00000025,2006-01-01,2011-12-31
poc00000025,2012-01-01,2013-11-30
poc00000025,2013-12-01,2015-07-31
poc00000025,2015-04-01,2017-03-31
poc00000025,2017-04-01,2019-09-30
poc00000026,2004-01-01,2004-04-30
poc00000026,2004-05-01,2009-06-01
poc00000026,2015-12-01,2017-11-30
poc00000027,2005-01-01,2005-12-31
poc00000027,2006-01-01,2018-12-31
poc00000028,2004-01-01,2005-12-31
poc00000028,2017-01-01,2017-12-31
poc00000028,2018-01-01,2018-12-31
poc00000028,2019-01-01,2019-09-30
poc00000029,2011-07-01,2012-06-30
poc00000029,2015-07-01,2017-06-30
poc00000030,2017-08-24,2019-09-30
poc00000031,2006-01-01,2007-12-31
poc00000031,2008-01-01,2009-12-31
poc00000031,2010-01-01,2013-06-30
poc00000031,2013-07-01,2019-09-30
poc00000032,2004-01-01,2007-12-31
poc00000032,2008-01-01,2009-12-31
poc00000032,2012-01-01,2017-05-20
poc00000033,2007-11-01,2008-04-30
poc00000033,2016-09-01,2018-01-31
poc00000034,2009-04-01,2013-05-31
poc00000034,2013-06-01,2014-05-31
poc00000034,2014-06-01,2016-05-31
poc00000034,2016-06-01,2018-05-31
poc00000034,2018-06-01,2019-05-31
poc00000035,2004-01-01,2009-06-30
poc00000035,2009-07-01,2011-12-31
poc00000035,2012-01-01,2017-12-31
poc00000036,2004-01-01,2008-12-31
poc00000036,2009-01-01,2009-12-31
poc00000036,2010-01-01,2010-12-31
poc00000036,2011-01-01,2011-12-31
poc00000036,2014-09-15,2014-12-31
poc00000036,2015-01-01,2015-12-31
poc00000036,2016-01-01,2016-12-31
poc00000036,2017-11-01,2019-04-30
poc00000037,2008-01-05,2012-12-31
poc00000037,2013-01-01,2015-12-31
poc00000037,2016-01-01,2017-12-31
poc00000038,2004-01-01,2004-03-07
poc00000038,2004-03-08,2004-05-31
poc00000038,2004-06-01,2006-05-31
poc00000038,2006-06-01,2017-07-31
poc00000038,2017-08-01,2018-05-31
poc00000038,2018-06-01,2019-09-30
poc00000039,2005-01-01,2006-08-31
poc00000039,2006-09-01,2019-09-30
poc00000040,2012-01-01,2012-12-31
poc00000040,2013-01-01,2017-12-31
poc00000040,2014-01-01,2017-12-31
poc00000040,2018-01-01,2018-12-31
poc00000040,2018-01-01,2018-12-31
poc00000040,2019-01-01,2019-09-30
poc00000040,2019-01-01,2019-09-30
poc00000041,2008-01-01,2008-01-31
poc00000041,2009-09-01,2011-07-31
poc00000041,2014-08-02,2017-10-10
poc00000042,2005-01-01,2005-12-31
poc00000042,2006-01-01,2011-12-31
poc00000042,2012-01-01,2012-12-31
poc00000042,2014-01-01,2014-12-31
poc00000042,2015-01-01,2016-01-31
poc00000042,2016-02-01,2019-09-30
poc00000043,2004-01-01,2005-08-31
poc00000043,2008-01-01,2009-12-31
poc00000043,2010-01-01,2010-12-31
poc00000043,2011-01-01,2014-12-31
poc00000043,2015-01-01,2015-12-31
poc00000043,2015-01-01,2017-12-31
poc00000043,2016-01-01,2016-12-31
poc00000043,2017-01-01,2017-12-31
poc00000043,2018-01-01,2018-12-31
poc00000043,2018-01-01,2018-12-31
poc00000043,2019-01-01,2019-09-30
poc00000043,2019-01-01,2019-09-30
poc00000044,2005-01-01,2010-09-30
poc00000044,2012-07-01,2019-09-30
poc00000045,2004-05-01,2012-12-31
poc00000045,2013-01-01,2018-12-31
poc00000045,2019-01-01,2019-09-30
poc00000046,2009-01-01,2009-12-31
